parameter_name,symbol,value,unit,classification,source_study,doi_or_url,experimental_system,membrane_type,feed_type,temperature_C,recovery_pct,calibration_status,transferability_limitation
clean_water_permeability,A_w,1.0232e-06,m/(bar.s),SOURCE_DERIVED,Toray Industries Datasheet & Stage 1 Reconciliation,https://www.water.toray/products/ro/ro_003.html,Single-element test cell (225 psi 2000 mg/L NaCl),Toray TML20D-400 (Low-Fouling Polyamide),Standard NaCl solution,25.0,15.0,Verified against manufacturer nominal flux (39.7 m3/day),Clean water baseline only; subject to compaction and fouling in industrial service
clean_salt_permeability,A_s,1.7827e-08,m/s,SOURCE_DERIVED,Sowgath et al. (2025) & Stage 2 Reconciliation,10.3303/CET25117013,2-Stage Industrial RO Network (Nice Cotton Ltd.),Toray TML20D-400 (Low-Fouling Polyamide),MBR-treated textile wastewater,25.0,69.36,Calibrated to 18 mg/L reference permeate TDS,Apparent single-solute NaCl-equivalent transport; neglects complex multivalent ion interactions
mass_transfer_coefficient,k,5.0e-05,m/s,ASSUMED,Standard Film Theory Literature,10.1016/j.memsci.2007.08.016,Spacer-filled spiral wound channel,Toray TML20D-400 (34 mil spacer),Textile wastewater RO feed,25.0,60.0-70.0,Representative fixed value,Assumes uniform crossflow hydrodynamics along spacer mesh without local bio-clogging
membrane_active_area,S_m,37.0,m2,SOURCE_REPORTED,Toray Industries Datasheet,https://www.water.toray/products/ro/ro_003.html,Manufacturer standard,Toray TML20D-400 (8-inch diameter),N/A,25.0,N/A,Manufacturer specification,Nominal manufacturing specification (+/- 1.0 m2 tolerance)
total_element_count,N_elem,15,elements,SOURCE_DERIVED,Sowgath et al. (2025) Topology A,10.3303/CET25117013,3 vessels Stage 1 + 2 vessels Stage 2 (3 elem/vessel),Toray TML20D-400,MBR effluent,25.0,69.36,Authoritative 15-element industrial configuration,Specific to Nice Cotton 30 m3/h train configuration
feed_flow_rate,Q_f,30.0,m3/h,SOURCE_REPORTED,Sowgath et al. (2025),10.3303/CET25117013,Industrial reclamation train,Toray TML20D-400,MBR-treated textile wastewater,25.0,69.36,Design operating point,Fixed disturbance input in standard operating mode
feed_tds,C_f,2041.0,mg/L,SOURCE_REPORTED,Sowgath et al. (2025),10.3303/CET25117013,Industrial reclamation train,Toray TML20D-400,MBR-treated textile wastewater,25.0,69.36,Design operating point,Composite conductivity-derived TDS; subject to seasonal dyehouse batch variations
feed_cod,COD_f,51.0,mg/L,SOURCE_REPORTED,Sowgath et al. (2025),10.3303/CET25117013,Industrial reclamation train,Toray TML20D-400,MBR-treated textile wastewater,25.0,69.36,Design operating point,Reflects biological effluent residual; tracked as Level B quality descriptor
clean_membrane_resistance,R_m,1.098e+14,m-1,SOURCE_DERIVED,Calculated from A_w and water viscosity (25 C),10.1016/j.desal.2018.04.015,Darcy resistance formulation (R_m = 1/(mu * A_clean)),Polyamide RO active layer,Clean water,25.0,N/A,Derived from mu(25C)=8.90e-4 Pa.s,Temperature dependent via water dynamic viscosity
empirical_fouling_anchor_volume,v_spec_ref,625.0,L/m2,SOURCE_REPORTED,Textile Wastewater RO Fouling Literature,10.3390/membranes12080789,Pilot MBR-RO textile effluent reuse filtration,Aromatic polyamide spiral wound,MBR biologically treated textile effluent,25.0,60.0,Experimental observation,Empirical point measurement; depends on upstream MBR filtration performance
empirical_permeability_decline,decline_ref,15.0,%,SOURCE_REPORTED,Textile Wastewater RO Fouling Literature,10.3390/membranes12080789,Pilot MBR-RO textile effluent reuse filtration,Aromatic polyamide spiral wound,MBR biologically treated textile effluent,25.0,60.0,Experimental observation,Threshold defining onset of significant organic/colloidal resistance
specific_fouling_resistance_constant,r_spec,1.8049e+13,m-1 / (m3/m2),CALIBRATED,Calibrated to 625 L/m2 -> 15% decline benchmark,This Study (Stage 6),2-Stage mechanistic simulation (60% recovery benchmark),Toray TML20D-400,MBR-treated textile wastewater,25.0,60.0,Calibrated (Residual = 0.000%),Fitted to single literature benchmark; requires multi-point dynamic pilot validation
fouling_polarization_exponent,alpha,1.0,dimensionless,ASSUMED,Convective Deposition Model,10.1016/j.memsci.2016.02.040,Crossflow membrane filtration,Polyamide RO,Foulant-laden feed,25.0,N/A,Theoretical linear coupling,Assumes drag force dominates foulant transport towards membrane surface
fouling_concentration_exponent,gamma,1.0,dimensionless,ASSUMED,Cake Layer & Gel Deposition Model,10.1016/j.desal.2020.114512,Spiral-wound RO element,Polyamide RO,Solute-concentrated brine,25.0,N/A,Theoretical scaling,Assumes deposition proportional to local wall solute concentration
nominal_cleaning_efficiency,eta_clean,0.90,dimensionless,ASSUMED,Chemical Cleaning in Place (CIP) Literature,10.1016/j.memsci.2019.01.032,Alkaline/acid sequential CIP cleaning,Polyamide RO element,Organic/inorganic fouled membrane,25.0,N/A,Configurable parameter (cleaning architecture),Depends strongly on cleaning protocol (NaOH/EDTA vs citric acid) and foulant maturity
