Parameter_Key,Value,Unit,Source_Type,Reference_Year,Source_Citation,Notes
plant_operations.operating_hours_per_year,8000.0,h/year,SCENARIO ASSUMPTION,2024,Standard 24/7 industrial textile manufacturing schedule (333.3 days),Assumes continuous 3-shift operation with planned plant maintenance outages.
plant_operations.nominal_feed_flow_m3_h,30.0,m3/h,SOURCE-BACKED,2024,Textile RO pilot plant design specification,Design hydraulic throughput for 3:2 staging array.
tariffs_and_utilities.water_purchase_cost,93.0,KES/m3,SOURCE-BACKED,2024,Nairobi City Water and Sewerage Company / Industrial Tariff Schedule,Commercial/Industrial bulk potable water supply tariff.
tariffs_and_utilities.electricity_energy_rate,13.74,KES/kWh,SOURCE-BACKED,2024,Energy and Petroleum Regulatory Authority (EPRA) Commercial/Industrial CI2 Schedule,Base energy charge excluding fuel energy cost and forex pass-through.
tariffs_and_utilities.wastewater_discharge_cost,35.0,KES/m3,SOURCE-BACKED,2024,National Environment Management Authority (NEMA) Industrial Effluent Discharge Fees,Sewerage surcharge fee per m3 of industrial wastewater discharged to municipal mains.
cleaning_and_maintenance.cip_chemical_cost_per_event,4500.0,KES/event,SOURCE-BACKED,2024,"Industrial RO cleaning chemical market quotation (EDTA, NaOH, Citric Acid)",Cost for 2-step alkaline-acid cleaning batch chemicals for 15-element skid.
cleaning_and_maintenance.cip_water_volume_m3,3.5,m3/event,SOURCE-BACKED,2024,Toray Membrane Technical Manual CIP Flush Volume Guidelines,Volume of permeate and RO feed water required for chemical prep and displacement flush.
cleaning_and_maintenance.cip_energy_kwh,12.0,kWh/event,SOURCE-BACKED,2024,CIP recirculation pump power consumption rating (3 kW x 4 h),Recirculation and heating energy consumed during 4.0 h CIP procedure.
cleaning_and_maintenance.cip_labour_hours,2.0,h/event,SOURCE-BACKED,2024,Plant operator shift log time study,Direct operator supervision required for chemical dosing and isolation valve switching.
cleaning_and_maintenance.cip_labour_rate_kes_h,650.0,KES/h,SOURCE-BACKED,2024,Kenya Association of Manufacturers (KAM) Skilled Operator Wage Guide,Fully burdened technician wage rate.
cleaning_and_maintenance.cleaning_duration_hours,4.0,hours,SOURCE-BACKED,2024,Toray TM720D Recommended Cleaning Protocol,"Standard duration: 1h alkaline soak, 1h acid wash, 2h rinse/circulation."
cleaning_and_maintenance.cleaning_efficiency_nominal,0.9,dimensionless,SOURCE-BACKED,2024,Stage 6 Dynamic Fouling & Literature Recovery Kinetics,Fraction of reversible fouling resistance (Rf) removed per standard CIP (Rf_after = 0.10 * Rf_before).
cleaning_and_maintenance.downtime_lost_revenue_rate_kes_h,850.0,KES/h,SCENARIO ASSUMPTION,2024,Equalization buffer storage opportunity cost analysis,Net operational penalty for plant downtime when permeate production is suspended.
membrane_capital_and_replacement.membrane_element_purchase_cost,45000.0,KES/element,SOURCE-BACKED,2024,Toray TM720D-400 commercial distributor unit price (~USD 346),8-inch spiral-wound polyamide composite membrane element (37.0 m2 active area).
membrane_capital_and_replacement.number_of_membrane_elements,15.0,elements,SOURCE-BACKED,2024,"3:2 Staging Configuration (3 vessels in S1, 2 vessels in S2, 3 elements/vessel)",Total 15 elements across 5 pressure vessels (555 m2 total active area).
membrane_capital_and_replacement.membrane_replacement_labour_kes,15000.0,KES/skid,SCENARIO ASSUMPTION,2024,Contractor re-shimming and membrane change-out service quotation,"Turnkey labour fee for unloading, inspecting, and repacking 15 pressure vessels."
membrane_capital_and_replacement.membrane_replacement_interval_hours,24000.0,hours,SOURCE-BACKED,2024,Manufacturer membrane lifetime expectation under non-compacted operating stress,"Nominal 3 operating years (24,000 h) under benign fouling index."
membrane_capital_and_replacement.membrane_disposal_cost_kes,1500.0,KES/element,SCENARIO ASSUMPTION,2024,Hazardous waste containment and landfill disposal fee,Environmental disposal cost per spent element.
digital_twin_system.digital_twin_implementation_capex,1200000.0,KES,SCENARIO ASSUMPTION,2024,"Industrial edge computing server, telemetry gateway, and software setup quote","Turnkey hardware, sensor instrumentation integration, and supervisory interface deployment."
digital_twin_system.digital_twin_annual_opex,250000.0,KES/year,SCENARIO ASSUMPTION,2024,"Edge hardware maintenance, software updates, cloud telemetry backup","Annual recurring support, model monitoring, and cloud connectivity."
financial_discounting.discount_rate,0.08,percent/year,SCENARIO ASSUMPTION,2024,Central Bank of Kenya real corporate discount rate benchmark,8.0% annual weighted average cost of capital (WACC) for industrial investments.
financial_discounting.project_lifetime_years,5.0,years,SCENARIO ASSUMPTION,2024,Standard industrial equipment evaluation period,5-year economic horizon for technology adoption and lifecycle assessment.
